name,code,parent_code
Distrito Norte,DISTRITO-NORTE,MUNICIPIO-MONTERREY
Distrito Poniente,DISTRITO-PONIENTE,MUNICIPIO-MONTERREY
Distrito Centro,DISTRITO-CENTRO,MUNICIPIO-MONTERREY
Distrito Sur,DISTRITO-SUR,MUNICIPIO-MONTERREY
Distrito Huajuco,DISTRITO-HUAJUCO,MUNICIPIO-MONTERREY
