name,code,zone_code,district_code
Valle Verde 2 Sector (Seccion Norte),COLONIA-VALLEVERDE2SECTORSECCIONNORTE,ZONA-VILLAMITRAS,DISTRITO-NORTE
Colinas de Valle Verde 3 Sector,COLONIA-COLINASDEVALLEVERDE3SECTOR,ZONA-VILLAMITRAS,DISTRITO-NORTE
Colinas de Valle Verde ,COLONIA-COLINASDEVALLEVERDE,ZONA-VILLAMITRAS,DISTRITO-NORTE
Balcones de las Mitras 1 Sector 1 Etapa,COLONIA-BALCONESDELASMITRAS1SECTOR1ETAPA,ZONA-VILLAMITRAS,DISTRITO-NORTE
Balcones de las Mitras 2 Sector,COLONIA-BALCONESDELASMITRAS2SECTOR,ZONA-VILLAMITRAS,DISTRITO-NORTE
Balcones de las Mitras Sector Monarcas,COLONIA-BALCONESDELASMITRASSECTORMONARCAS,ZONA-VILLAMITRAS,DISTRITO-NORTE
Balcones de las Mitras 4 Sector Etapa 1,COLONIA-BALCONESDELASMITRAS4SECTORETAPA1,ZONA-VILLAMITRAS,DISTRITO-NORTE
Balcones de las Mitras 4 Sector Etapa 2,COLONIA-BALCONESDELASMITRAS4SECTORETAPA2,ZONA-VILLAMITRAS,DISTRITO-NORTE
Balcones d elas Mitras 5 Sector San Felipe,COLONIA-BALCONESDELASMITRAS5SECTORSANFELIPE,ZONA-VILLAMITRAS,DISTRITO-NORTE
Paseo de las Mitras,COLONIA-PASEODELASMITRAS,ZONA-VILLAMITRAS,DISTRITO-NORTE
Madre Selva,COLONIA-MADRESELVA,ZONA-VILLAMITRAS,DISTRITO-NORTE
Fidel Velazquez (S.N.A.T.),COLONIA-FIDELVELAZQUEZSNAT,ZONA-VILLAMITRAS,DISTRITO-NORTE
Mision Lincoln,COLONIA-MISIONLINCOLN,ZONA-VILLAMITRAS,DISTRITO-NORTE
Mision Lincoln 2 Sector,COLONIA-MISIONLINCOLN2SECTOR,ZONA-VILLAMITRAS,DISTRITO-NORTE
Mision Lincoln 3 Sector,COLONIA-MISIONLINCOLN3SECTOR,ZONA-VILLAMITRAS,DISTRITO-NORTE
Lomas de Cumbres,COLONIA-LOMASDECUMBRES,ZONA-VILLAMITRAS,DISTRITO-NORTE
Lomas de Cumbres 2 Sector,COLONIA-LOMASDECUMBRES2SECTOR,ZONA-VILLAMITRAS,DISTRITO-NORTE
Cumbre Alta,COLONIA-CUMBREALTA,ZONA-VILLAMITRAS,DISTRITO-NORTE
San Francisco de Asis,COLONIA-SANFRANCISCODEASIS,ZONA-VILLAMITRAS,DISTRITO-NORTE
Felipe Angeles,COLONIA-FELIPEANGELES,ZONA-VILLAMITRAS,DISTRITO-NORTE
Villa Mitras,COLONIA-VILLAMITRAS,ZONA-VILLAMITRAS,DISTRITO-NORTE
Condocasa Mitras,COLONIA-CONDOCASAMITRAS,ZONA-VILLAMITRAS,DISTRITO-NORTE
Residencial Raul Rangel Frias (Villa Mitras),COLONIA-RESIDENCIALRAULRANGELFRIASVILLAMITRAS,ZONA-VILLAMITRAS,DISTRITO-NORTE
Rincon Santa Cecilia,COLONIA-RINCONSANTACECILIA,ZONA-VILLAMITRAS,DISTRITO-NORTE
Bortoni,COLONIA-BORTONI,ZONA-VILLAMITRAS,DISTRITO-NORTE
Villa Santa Cecilia,COLONIA-VILLASANTACECILIA,ZONA-VILLAMITRAS,DISTRITO-NORTE
Santa Cecilia,COLONIA-SANTACECILIA,ZONA-VILLAMITRAS,DISTRITO-NORTE
Mitra Dorada,COLONIA-MITRADORADA,ZONA-VILLAMITRAS,DISTRITO-NORTE
Lomas de Santa Cecilia,COLONIA-LOMASDESANTACECILIA,ZONA-VILLAMITRAS,DISTRITO-NORTE
Villa Mitras 5 Sector,COLONIA-VILLAMITRAS5SECTOR,ZONA-VILLAMITRAS,DISTRITO-NORTE
Cumbre Alta 2 Sector,COLONIA-CUMBREALTA2SECTOR,ZONA-VILLAMITRAS,DISTRITO-NORTE
Loma Linda,COLONIA-LOMALINDA,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Villa Alegre,COLONIA-VILLAALEGRE,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Unidad Modelo,COLONIA-UNIDADMODELO,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Lomas Modelo,COLONIA-LOMASMODELO,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Jardin Modelo,COLONIA-JARDINMODELO,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Nueva Modelo(F-8),COLONIA-NUEVAMODELOF8,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Nueva Galicia,COLONIA-NUEVAGALICIA,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Moctezuma (Unidad Modelo),COLONIA-MOCTEZUMAUNIDADMODELO,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Lomas de Villa Alegre,COLONIA-LOMASDEVILLAALEGRE,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Abelardo Zapata,COLONIA-ABELARDOZAPATA,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Lomas Modelo 2 Sector,COLONIA-LOMASMODELO2SECTOR,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Valle de Santa Lucia (Granja Sanitaria),COLONIA-VALLEDESANTALUCIAGRANJASANITARIA,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Fray Servando Teresa de Mier(F--6),COLONIA-FRAYSERVANDOTERESADEMIERF6,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Valle del Topo Chico (Valle de Santa Lucía),COLONIA-VALLEDELTOPOCHICOVALLEDESANTALUCIA,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Moctezuma (Valle de Santa Lucía),COLONIA-MOCTEZUMAVALLEDESANTALUCIA,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
La Esperanza(Tierra Propia),COLONIA-LAESPERANZATIERRAPROPIA,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Diechiocho de Febrero,COLONIA-DIECHIOCHODEFEBRERO,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
San Angel (F-78) (Valle de Santa Lucía),COLONIA-SANANGELF78VALLEDESANTALUCIA,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Carmen Serdan,COLONIA-CARMENSERDAN,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Valle del Topo Chico 6 Sector (Valle de Santa Lucía),COLONIA-VALLEDELTOPOCHICO6SECTORVALLEDESANTALUCIA,ZONA-UNIDADMODELOYVALLEDESANTALUCIA,DISTRITO-NORTE
Fomerrey Sector Poniente,COLONIA-FOMERREYSECTORPONIENTE,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Tierra y Libertad Sector Heroíco,COLONIA-TIERRAYLIBERTADSECTORHEROICO,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Primero de Mayo(F-97),COLONIA-PRIMERODEMAYOF97,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Lomas de San Martin,COLONIA-LOMASDESANMARTIN,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Siete de Noviembre(F-82),COLONIA-SIETEDENOVIEMBREF82,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Villa Francisco,COLONIA-VILLAFRANCISCO,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Tierra y Libertad Sector Norte,COLONIA-TIERRAYLIBERTADSECTORNORTE,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Tierra y Libertad Sector Centro,COLONIA-TIERRAYLIBERTADSECTORCENTRO,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Francisco Gonzalez Bocanegra,COLONIA-FRANCISCOGONZALEZBOCANEGRA,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
C.N.O.P,COLONIA-CNOP,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Lazaro Cardenas,COLONIA-LAZAROCARDENAS,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Villa de San Angel Topo Chico,COLONIA-VILLADESANANGELTOPOCHICO,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
La Amistad,COLONIA-LAAMISTAD,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Primero de Junio,COLONIA-PRIMERODEJUNIO,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Las Pedreras(F-106),COLONIA-LASPEDRERASF106,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Unidad Reforma Urbana,COLONIA-UNIDADREFORMAURBANA,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Madero (Tierra y Libertad),COLONIA-MADEROTIERRAYLIBERTAD,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Cinco de Mayo(F-93),COLONIA-CINCODEMAYOF93,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Cuatro de Diciembre,COLONIA-CUATRODEDICIEMBRE,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Union Cuauhtemoc (Tierra y Libertad),COLONIA-UNIONCUAUHTEMOCTIERRAYLIBERTAD,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Plan de San Luis,COLONIA-PLANDESANLUIS,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Diecinueve de Abril,COLONIA-DIECINUEVEDEABRIL,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Diez de Junio,COLONIA-DIEZDEJUNIO,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
San Angel (F-78) (Tierra y Libertad),COLONIA-SANANGELF78TIERRAYLIBERTAD,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Las Pedreras Ampliacion (F-116),COLONIA-LASPEDRERASAMPLIACIONF116,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Rafael Buelna,COLONIA-RAFAELBUELNA,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Valle del Topo Chico 6 Sector (Tierra y Libertad),COLONIA-VALLEDELTOPOCHICO6SECTORTIERRAYLIBERTAD,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Tierra y Libertad sector Sur,COLONIA-TIERRAYLIBERTADSECTORSUR,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Martires de San Cosme,COLONIA-MARTIRESDESANCOSME,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Loma Bonita 2 Sector,COLONIA-LOMABONITA2SECTOR,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Flores Magon 3 Sector,COLONIA-FLORESMAGON3SECTOR,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Loma Bonita,COLONIA-LOMABONITA,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
21 de Marzo 2 Sector,COLONIA-21DEMARZO2SECTOR,ZONA-TIERRAYLIBERTAD,DISTRITO-NORTE
Topo Chico,COLONIA-TOPOCHICO,ZONA-TOPOCHICO,DISTRITO-NORTE
Los Nogales,COLONIA-LOSNOGALES,ZONA-TOPOCHICO,DISTRITO-NORTE
Nueva Topo Chico,COLONIA-NUEVATOPOCHICO,ZONA-TOPOCHICO,DISTRITO-NORTE
Belisario Dominguez,COLONIA-BELISARIODOMINGUEZ,ZONA-TOPOCHICO,DISTRITO-NORTE
Avila Camacho,COLONIA-AVILACAMACHO,ZONA-TOPOCHICO,DISTRITO-NORTE
Hogares Ferrocarrileros,COLONIA-HOGARESFERROCARRILEROS,ZONA-TOPOCHICO,DISTRITO-NORTE
Lomas de Anahuac,COLONIA-LOMASDEANAHUAC,ZONA-TOPOCHICO,DISTRITO-NORTE
Kenedy,COLONIA-KENEDY,ZONA-TOPOCHICO,DISTRITO-NORTE
Luis Echeverria (F-35) (Topo Chico),COLONIA-LUISECHEVERRIAF35TOPOCHICO,ZONA-TOPOCHICO,DISTRITO-NORTE
Union Benito Juarez,COLONIA-UNIONBENITOJUAREZ,ZONA-TOPOCHICO,DISTRITO-NORTE
Constituyentes del 57,COLONIA-CONSTITUYENTESDEL57,ZONA-TOPOCHICO,DISTRITO-NORTE
Ferrocarrilera,COLONIA-FERROCARRILERA,ZONA-PENITENCIARIA,DISTRITO-NORTE
Pablo Gonzalez,COLONIA-PABLOGONZALEZ,ZONA-PENITENCIARIA,DISTRITO-NORTE
Residencial Aztlán,COLONIA-RESIDENCIALAZTLAN,ZONA-PENITENCIARIA,DISTRITO-NORTE
Union Benito Garza Cantú,COLONIA-UNIONBENITOGARZACANTU,ZONA-PENITENCIARIA,DISTRITO-NORTE
Santa Fe Norponiente,COLONIA-SANTAFENORPONIENTE,ZONA-PENITENCIARIA,DISTRITO-NORTE
San Jose,COLONIA-SANJOSE,ZONA-PENITENCIARIA,DISTRITO-NORTE
Bernardo Reyes (Penitenciaría),COLONIA-BERNARDOREYESPENITENCIARIA,ZONA-PENITENCIARIA,DISTRITO-NORTE
Plaza Insurgentes,COLONIA-PLAZAINSURGENTES,ZONA-PENITENCIARIA,DISTRITO-NORTE
Central (Penitenciaría),COLONIA-CENTRALPENITENCIARIA,ZONA-PENITENCIARIA,DISTRITO-NORTE
Simon Bolivar,COLONIA-SIMONBOLIVAR,ZONA-PENITENCIARIA,DISTRITO-NORTE
Valle del Topo Chico (Penitenciaría),COLONIA-VALLEDELTOPOCHICOPENITENCIARIA,ZONA-PENITENCIARIA,DISTRITO-NORTE
Dieciseis de Septiembre (Penitenciaria),COLONIA-DIECISEISDESEPTIEMBREPENITENCIARIA,ZONA-PENITENCIARIA,DISTRITO-NORTE
Residencial Raul Rangel Frias (Penitenciaría),COLONIA-RESIDENCIALRAULRANGELFRIASPENITENCIARIA,ZONA-PENITENCIARIA,DISTRITO-NORTE
Union de Fierreros,COLONIA-UNIONDEFIERREROS,ZONA-PENITENCIARIA,DISTRITO-NORTE
Torres Pravia,COLONIA-TORRESPRAVIA,ZONA-PENITENCIARIA,DISTRITO-NORTE
Del Maestro,COLONIA-DELMAESTRO,ZONA-PENITENCIARIA,DISTRITO-NORTE
Valle Morelos,COLONIA-VALLEMORELOS,ZONA-PENITENCIARIA,DISTRITO-NORTE
Morelos,COLONIA-MORELOS,ZONA-PENITENCIARIA,DISTRITO-NORTE
Nueva Morelos,COLONIA-NUEVAMORELOS,ZONA-PENITENCIARIA,DISTRITO-NORTE
Cinco de Mayo,COLONIA-CINCODEMAYO,ZONA-PENITENCIARIA,DISTRITO-NORTE
Popular,COLONIA-POPULAR,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Bernardo Reyes (Distrito Norte),COLONIA-BERNARDOREYESDISTRITONORTE,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Bernardo Reyes 3-5 Sector (Distrito Norte),COLONIA-BERNARDOREYES35SECTORDISTRITONORTE,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Predio Estrella,COLONIA-PREDIOESTRELLA,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Fraacionamiento Industrial,COLONIA-FRAACIONAMIENTOINDUSTRIAL,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Estrella (Distrito Norte),COLONIA-ESTRELLADISTRITONORTE,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Hogares Ferrocarrileros Infonavit,COLONIA-HOGARESFERROCARRILEROSINFONAVIT,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Luis Echeverria (F-35) (Niños Heroes),COLONIA-LUISECHEVERRIAF35NINOSHEROES,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Niño Artillero,COLONIA-NINOARTILLERO,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Narciso Mendoza,COLONIA-NARCISOMENDOZA,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Pueblo Quieto,COLONIA-PUEBLOQUIETO,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Monterrey Conjunto Habitacional,COLONIA-MONTERREYCONJUNTOHABITACIONAL,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Hidalgo,COLONIA-HIDALGO,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Regina,COLONIA-REGINA,ZONA-DISTRITONORTEYNINOSHEROES,DISTRITO-NORTE
Cerradas de Cumbres 1 etapa,COLONIA-CERRADASDECUMBRES1ETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin 1  Sector 2 etap,COLONIA-CUMBRESSANAGUSTIN1SECTOR2ETAP,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Puerta de Hierro Privada del Jardin,COLONIA-PUERTADEHIERROPRIVADADELJARDIN,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Puerta de Hierro Privada Las Fuentes,COLONIA-PUERTADEHIERROPRIVADALASFUENTES,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Paseo de Cumbres 2  Sector,COLONIA-PASEODECUMBRES2SECTOR,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Paseo de Cumbres 3  Sector,COLONIA-PASEODECUMBRES3SECTOR,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Puerta de Hierro Privada Los Arcos,COLONIA-PUERTADEHIERROPRIVADALOSARCOS,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Puerta de Hierro Residencial Privada Gran Via,COLONIA-PUERTADEHIERRORESIDENCIALPRIVADAGRANVIA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Puerta de Hierro Privada del Balcón,COLONIA-PUERTADEHIERROPRIVADADELBALCON,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Puerta de Hierro Privada del Mirador,COLONIA-PUERTADEHIERROPRIVADADELMIRADOR,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Angel,COLONIA-CUMBRESSANANGEL,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Paseo de Cumbres,COLONIA-PASEODECUMBRES,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Paseo de Cumbres 1  Sector,COLONIA-PASEODECUMBRES1SECTOR,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Paseo de Cumbres 4  Sector 1er etapa,COLONIA-PASEODECUMBRES4SECTOR1ERETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Paseo de Cumbres 4  Sector 2do etapa,COLONIA-PASEODECUMBRES4SECTOR2DOETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Paseo de Cumbres 4  Sector 3er etapa,COLONIA-PASEODECUMBRES4SECTOR3ERETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Puerta de Hierro Privada Pedregal,COLONIA-PUERTADEHIERROPRIVADAPEDREGAL,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Puerta de Hierro Privada de la Hacienda,COLONIA-PUERTADEHIERROPRIVADADELAHACIENDA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin 1  Sector,COLONIA-CUMBRESSANAGUSTIN1SECTOR,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Paseo de Cumbres 4  Sector 4a etapa.,COLONIA-PASEODECUMBRES4SECTOR4AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres Madeira 1  Sector 1a. Etapa,COLONIA-CUMBRESMADEIRA1SECTOR1AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin 2  Sector 1a Etapa,COLONIA-CUMBRESSANAGUSTIN2SECTOR1AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin 2  Sector,COLONIA-CUMBRESSANAGUSTIN2SECTOR,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin 2  Sector 2a Etapa,COLONIA-CUMBRESSANAGUSTIN2SECTOR2AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin 2  Sector 3a Etapa,COLONIA-CUMBRESSANAGUSTIN2SECTOR3AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cerradas de Cumbres 2 etapa 2  Sector,COLONIA-CERRADASDECUMBRES2ETAPA2SECTOR,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cerradas de Cumbres 2 etapa,COLONIA-CERRADASDECUMBRES2ETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cerradas de Cumbres Norte,COLONIA-CERRADASDECUMBRESNORTE,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin 2  Sector 4a. etapa,COLONIA-CUMBRESSANAGUSTIN2SECTOR4AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin 2  Sector 6a. Etapa,COLONIA-CUMBRESSANAGUSTIN2SECTOR6AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin 3  Sector,COLONIA-CUMBRESSANAGUSTIN3SECTOR,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Puerta de Hierro Priv. Las Vistas,COLONIA-PUERTADEHIERROPRIVLASVISTAS,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres del sol 1era. Etapa,COLONIA-CUMBRESDELSOL1ERAETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Paseo de Cumbres 4  Sector 7a. etapa,COLONIA-PASEODECUMBRES4SECTOR7AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Paseo de Cumbres 4  Sector 5a. etapa,COLONIA-PASEODECUMBRES4SECTOR5AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Paseo de Cumbres 4  Sector 6a. etapa,COLONIA-PASEODECUMBRES4SECTOR6AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cerradas de Cumbres Poniente 1  Sector,COLONIA-CERRADASDECUMBRESPONIENTE1SECTOR,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres del Sol 2da. Etapa,COLONIA-CUMBRESDELSOL2DAETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Desarrollo Comercial Puerta de Hierro,COLONIA-DESARROLLOCOMERCIALPUERTADEHIERRO,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres Antares 1a. Etapa,COLONIA-CUMBRESANTARES1AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
"Puerta de Hierro Castilla Privada Cantabria, Burgos,Logroña",COLONIA-PUERTADEHIERROCASTILLAPRIVADACANTABRIABURGOSLOGRONA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cerradas de Cumbres sector Verona,COLONIA-CERRADASDECUMBRESSECTORVERONA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres Madeira 2  Sector,COLONIA-CUMBRESMADEIRA2SECTOR,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres Antares 2a. Etapa,COLONIA-CUMBRESANTARES2AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin Priv.Italiana y Francesa,COLONIA-CUMBRESSANAGUSTINPRIVITALIANAYFRANCESA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cerrada de Cumbres Sector Miralta 1 Sector,COLONIA-CERRADADECUMBRESSECTORMIRALTA1SECTOR,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Espacio Cumbres,COLONIA-ESPACIOCUMBRES,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
"Puerta de Hierro Castilla, Priv.Alboran",COLONIA-PUERTADEHIERROCASTILLAPRIVALBORAN,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin 2 Sector 5ta. Etapa,COLONIA-CUMBRESSANAGUSTIN2SECTOR5TAETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Espacio Cumbres Privada 4 y 5,COLONIA-ESPACIOCUMBRESPRIVADA4Y5,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Crisanto,COLONIA-CRISANTO,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres Antares 3a. Etapa,COLONIA-CUMBRESANTARES3AETAPA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin 4 Sector 1era.Etapa (Seccion B),COLONIA-CUMBRESSANAGUSTIN4SECTOR1ERAETAPASECCIONB,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
"Puerta de Hierro Ariza,Zaragoza,Aragón,Calatayud, Almazan",COLONIA-PUERTADEHIERROARIZAZARAGOZAARAGONCALATAYUDALMAZAN,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
"Puerta de Hierro Castilla Privada Palencia, Valladolid, Soria, Segovia",COLONIA-PUERTADEHIERROCASTILLAPRIVADAPALENCIAVALLADOLIDSORIASEGOVIA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres San Agustin 4°Sector 1era. Etapa Sección A,COLONIA-CUMBRESSANAGUSTIN4SECTOR1ERAETAPASECCIONA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cerrada de Cumbres sector Miralta 2°Sector,COLONIA-CERRADADECUMBRESSECTORMIRALTA2SECTOR,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Desarrollo Comercial Puerta de Hierro B,COLONIA-DESARROLLOCOMERCIALPUERTADEHIERROB,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres Madeira 2  Sector B,COLONIA-CUMBRESMADEIRA2SECTORB,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
Cumbres Madeira Sector Frances Priv.Matisse Seccion A,COLONIA-CUMBRESMADEIRASECTORFRANCESPRIVMATISSESECCIONA,ZONA-PUERTADEHIERROYCUMBRESELITE,DISTRITO-PONIENTE
